Colour Name,First Usage,Colour Family,hex,URL,Part of Speech,0000D category
white,0,white,white,,adjective,The external world > matter > colour > named colors
blank,1325,white,white,,adjective,The external world > matter > colour > named colors
blanch,1330,white,white,,adjective,The external world > matter > colour > named colors
paper-white,1430,white,white,,adjective,The external world > matter > colour > named colors
candid,1635,white,white,,adjective,The external world > matter > colour > named colors
whitish,1398,whitish,white,,adjective,The external world > matter > colour > named colors
whitelike,1608,whitish,white,,adjective,The external world > matter > colour > named colors
albid,1657,whitish,white,,adjective,The external world > matter > colour > named colors
incandent,1854,brilliantly white,white,,adjective,The external world > matter > colour > named colors
all-white,0,pure white,white,http://www.ansiindia.com/blowups/pure-white-pebbles.jpg,adjective,The external world > matter > colour > named colors
dead white,1794,pure white,white,http://www.ansiindia.com/blowups/pure-white-pebbles.jpg,adjective,The external world > matter > colour > named colors
snow-white,1000,white as snow,snow,http://www.marcodebiasi.net/MDhobbies/MDphoto/photogalleries/nature/whitesnow05.jpg,adjective,The external world > matter > colour > named colors
snowish,1374,white as snow,snow,http://www.marcodebiasi.net/MDhobbies/MDphoto/photogalleries/nature/whitesnow05.jpg,adjective,The external world > matter > colour > named colors
snowy,1590,white as snow,snow,http://www.marcodebiasi.net/MDhobbies/MDphoto/photogalleries/nature/whitesnow05.jpg,adjective,The external world > matter > colour > named colors
nixious,1623,white as snow,snow,http://www.marcodebiasi.net/MDhobbies/MDphoto/photogalleries/nature/whitesnow05.jpg,adjective,The external world > matter > colour > named colors
snow-like,1663,white as snow,snow,http://www.marcodebiasi.net/MDhobbies/MDphoto/photogalleries/nature/whitesnow05.jpg,adjective,The external world > matter > colour > named colors
snow,1750,white as snow,snow,http://www.marcodebiasi.net/MDhobbies/MDphoto/photogalleries/nature/whitesnow05.jpg,adjective,The external world > matter > colour > named colors
milk-white,0,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
milkish,1398,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
milky,1398,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
milk,1500,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
milken,1586,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
lacteal,1633,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
lacteous,1646,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
lactaceous,1656,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
lactean,1659,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
lactescent,1758,white as milk,white,http://cdn1.medicalnewstoday.com/content/images/articles/273451-milk.jpg,adjective,The external world > matter > colour > named colors
bone,1275,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
ivory,1586,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
ivory-white,1595,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
eburnean,1656,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
eburnine,1822,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
bone-white,1856,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
ivorine,1888,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
ivoried,1890,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
bone-coloured,1951,white as ivory or bone,ivory,http://i.ebayimg.com/00/s/MzQ4WDM0OA==/z/DBAAAOSwZVlXnmGm/$_1.JPG?set_id=2,adjective,The external world > matter > colour > named colors
lily-white,1325,white as lily,floralwhite,https://tse1.mm.bing.net/th?id=OIP.YoTvnt8BqgxkpLIDaOfXCgEsC7&pid=Api&w=288&h=181,adjective,The external world > matter > colour > named colors
lily,1500,white as lily,floralwhite,https://tse1.mm.bing.net/th?id=OIP.YoTvnt8BqgxkpLIDaOfXCgEsC7&pid=Api&w=288&h=181,adjective,The external world > matter > colour > named colors
lily-whited,1560,white as lily,floralwhite,https://tse1.mm.bing.net/th?id=OIP.YoTvnt8BqgxkpLIDaOfXCgEsC7&pid=Api&w=288&h=181,adjective,The external world > matter > colour > named colors
lily-wristed,1648,white as lily,floralwhite,https://tse1.mm.bing.net/th?id=OIP.YoTvnt8BqgxkpLIDaOfXCgEsC7&pid=Api&w=288&h=181,adjective,The external world > matter > colour > named colors
lily-like,1652,white as lily,floralwhite,https://tse1.mm.bing.net/th?id=OIP.YoTvnt8BqgxkpLIDaOfXCgEsC7&pid=Api&w=288&h=181,adjective,The external world > matter > colour > named colors
lily-coloured,1866,white as lily,floralwhite,https://tse1.mm.bing.net/th?id=OIP.YoTvnt8BqgxkpLIDaOfXCgEsC7&pid=Api&w=288&h=181,adjective,The external world > matter > colour > named colors
chalk-white,1400,white as chalk,white,https://img1.etsystatic.com/115/0/13166338/il_570xN.1034939389_3avz.jpg,adjective,The external world > matter > colour > named colors
chalky,1611,white as chalk,white,https://img1.etsystatic.com/115/0/13166338/il_570xN.1034939389_3avz.jpg,adjective,The external world > matter > colour > named colors
chalkish,1657,white as chalk,white,https://img1.etsystatic.com/115/0/13166338/il_570xN.1034939389_3avz.jpg,adjective,The external world > matter > colour > named colors
ermine,1610,white as ermine,white,https://img1.etsystatic.com/115/0/13166338/il_570xN.1034939389_3avz.jpg,adjective,The external world > matter > colour > named colors
ermined,1823,white as ermine,white,https://img1.etsystatic.com/115/0/13166338/il_570xN.1034939389_3avz.jpg,adjective,The external world > matter > colour > named colors
marble,1565,white as marble or alabaster,white,http://www.inneocreative.com/wp-content/uploads/2011/11/alabaster-bianco-32x64.jpg,adjective,The external world > matter > colour > named colors
alabaster,1566,white as marble or alabaster,white,http://www.inneocreative.com/wp-content/uploads/2011/11/alabaster-bianco-32x64.jpg,adjective,The external world > matter > colour > named colors
alabastrine,1578,white as marble or alabaster,white,http://www.inneocreative.com/wp-content/uploads/2011/11/alabaster-bianco-32x64.jpg,adjective,The external world > matter > colour > named colors
marmorean,1656,white as marble or alabaster,white,http://www.inneocreative.com/wp-content/uploads/2011/11/alabaster-bianco-32x64.jpg,adjective,The external world > matter > colour > named colors
marbly,1814,white as marble or alabaster,white,http://www.inneocreative.com/wp-content/uploads/2011/11/alabaster-bianco-32x64.jpg,adjective,The external world > matter > colour > named colors
marmoreal,1869,white as marble or alabaster,white,http://www.inneocreative.com/wp-content/uploads/2011/11/alabaster-bianco-32x64.jpg,adjective,The external world > matter > colour > named colors
pearly,1596,white as pearl,seashell,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRNHMTsW08tA6iW262oVeKsdPOYcTMoD23e-8rSbpx-jomr_z-4,adjective,The external world > matter > colour > named colors
swan-white,1393,other whites,white,,adjective,The external world > matter > colour > named colors
ice-white,1641,other whites,white,,adjective,The external world > matter > colour > named colors
pearl white,1779,other whites,seashell,,adjective,The external world > matter > colour > named colors
lint-white,1794,other whites,white,,adjective,The external world > matter > colour > named colors
wool-white,1819,other whites,white,,adjective,The external world > matter > colour > named colors
fish belly,1878,other whites,white,,adjective,The external world > matter > colour > named colors
wax-white,1883,other whites,white,,adjective,The external world > matter > colour > named colors
cottonary,1658,white as cotton,white,https://3.imimg.com/data3/HT/BS/MY-3476148/raw-cotton-250x250.jpg,adjective,The external world > matter > colour > named colors
cottonous,1664,white as cotton,white,https://3.imimg.com/data3/HT/BS/MY-3476148/raw-cotton-250x250.jpg,adjective,The external world > matter > colour > named colors
cottony,1664,white as cotton,white,https://3.imimg.com/data3/HT/BS/MY-3476148/raw-cotton-250x250.jpg,adjective,The external world > matter > colour > named colors
dead white,1794,dull white,ghostwhite,,adjective,The external world > matter > colour > named colors
sheep-hued,1583,off-white,oldlace,,adjective,The external world > matter > colour > named colors
ecru,1869,off-white,oldlace,,adjective,The external world > matter > colour > named colors
natural-coloured,1909,off-white,oldlace,,adjective,The external world > matter > colour > named colors
off-white,1931,off-white,oldlace,,adjective,The external world > matter > colour > named colors
oysterous,1882,greyish white,whitesmoke,,adjective,The external world > matter > colour > named colors
oyster,1893,greyish white,whitesmoke,,adjective,The external world > matter > colour > named colors
white,0,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
silver,1405,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
silverish,1530,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
argentine,1578,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
argent,1593,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
silver-coloured,1594,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
silver-white,1598,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
silver-like,1611,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
silvery,1611,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
argenteous,1881,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
silvern,1885,silvery,silver,http://www.chemicool.com/elements/images/300-galena.jpg,adjective,The external world > matter > colour > named colors
flatten,1625,bluish white,aliceblue,,adjective,The external world > matter > colour > named colors
fleeten,1640,bluish white,aliceblue,,adjective,The external world > matter > colour > named colors
blue-white,1819,bluish white,aliceblue,,adjective,The external world > matter > colour > named colors
blush-white,1882,reddish white,misty rose,,adjective,The external world > matter > colour > named colors
cream-coloured,1707,cream,ivory,http://www.lifetasteslikefood.com/wp-content/uploads/2012/01/IMG_8891-1024x682.jpg,adjective,The external world > matter > colour > named colors
creamy,1845,cream,ivory,http://www.lifetasteslikefood.com/wp-content/uploads/2012/01/IMG_8891-1024x682.jpg,adjective,The external world > matter > colour > named colors
cream,1861,cream,ivory,http://www.lifetasteslikefood.com/wp-content/uploads/2012/01/IMG_8891-1024x682.jpg,adjective,The external world > matter > colour > named colors
