None,ticker,Date,Open,High,Low,Close,Volume,Adj_Close
0,AMZN,3/27/2018,1572.4,1575.96,1482.32,1497.05,6793279,1497.05
1,AMZN,3/26/2018,1530,1556.99,1499.25,1555.86,5547618,1555.86
2,AMZN,3/23/2018,1539.01,1549.02,1495.36,1495.56,7843966,1495.56
3,AMZN,3/22/2018,1565.47,1573.85,1542.4,1544.1,6177737,1544.1
4,AMZN,3/21/2018,1586.45,1590,1563.17,1581.86,4667291,1581.86
5,AMZN,3/20/2018,1550.34,1587,1545.41,1586.51,4507049,1586.51
6,AMZN,3/19/2018,1554.53,1561.66,1525.35,1544.93,6376619,1544.93
7,AMZN,3/16/2018,1583.45,1589.44,1567.5,1571.68,5145054,1571.68
8,AMZN,3/15/2018,1595,1596.91,1578.11,1582.32,4026744,1582.32
9,AMZN,3/14/2018,1597,1606.44,1590.89,1591,4164395,1591
10,AMZN,3/13/2018,1615.96,1617.54,1578.01,1588.18,6427066,1588.18
11,AMZN,3/12/2018,1592.6,1605.33,1586.7,1598.39,5115886,1598.39
12,AMZN,3/9/2018,1563.5,1578.94,1559.08,1578.89,4417059,1578.89
13,AMZN,3/8/2018,1550,1554.88,1545.25,1551.86,3512528,1551.86
14,AMZN,3/7/2018,1526.52,1545.9,1522.51,1545,4174123,1545
15,AMZN,3/6/2018,1533.2,1542.13,1528,1537.64,4561718,1537.64
16,AMZN,3/5/2018,1494.24,1525.38,1481,1523.61,5233934,1523.61
17,AMZN,3/2/2018,1469.1,1501.05,1455.01,1500.25,6587564,1500.25
18,AMZN,3/1/2018,1513.6,1518.49,1465,1493.45,6835230,1493.45
19,AMZN,2/28/2018,1519.51,1528.7,1512,1512.45,4426580,1512.45
20,AMZN,2/27/2018,1524.5,1526.78,1507.21,1511.98,4708378,1511.98
21,AMZN,2/26/2018,1509.2,1522.84,1507,1521.95,4909053,1521.95
22,AMZN,2/23/2018,1495.34,1500,1486.5,1500,4327008,1500
23,AMZN,2/22/2018,1495.36,1502.54,1475.76,1484.76,4732555,1484.76
24,AMZN,2/21/2018,1485,1503.49,1478.92,1482.92,6216694,1482.92
25,AMZN,2/20/2018,1446.49,1488.77,1446.49,1468.35,6388374,1468.35
26,AMZN,2/16/2018,1457.37,1465.8,1446.56,1448.69,4410879,1448.69
27,AMZN,2/15/2018,1466.89,1468.94,1436.84,1461.76,5598111,1461.76
28,AMZN,2/14/2018,1406.25,1452.06,1403.36,1451.05,5881238,1451.05
29,AMZN,2/13/2018,1385.93,1419.72,1383.53,1414.51,5858860,1414.51
30,AMZN,2/12/2018,1364.67,1393.81,1344.01,1386.23,6682214,1386.23
31,AMZN,2/9/2018,1373.49,1383.5,1265.93,1338.99,13787886,1338.99
32,AMZN,2/8/2018,1429.67,1433.75,1349.94,1350.47,8108560,1350.47
33,AMZN,2/7/2018,1449,1460.99,1415.15,1416.78,7066828,1416.78
34,AMZN,2/6/2018,1361.46,1443.99,1351.79,1442.84,10773963,1442.84
35,AMZN,2/5/2018,1402.62,1458.98,1320.72,1396.62,10756332,1396.62
36,AMZN,2/2/2018,1477.39,1498,1414,1431,10915962,1431
37,AMZN,2/1/2018,1445,1459.88,1385.14,1390,7812953,1390
38,AMZN,1/31/2018,1451.3,1472.58,1450.04,1451.65,6220396,1451.65
39,AMZN,1/30/2018,1403.17,1439.25,1392,1437.82,5736512,1437.82
40,AMZN,1/29/2018,1409.18,1431.39,1400.44,1417.68,5628992,1417.68
41,AMZN,1/26/2018,1392.01,1402.53,1380.91,1402.05,4584082,1402.05
42,AMZN,1/25/2018,1368,1378.34,1357.62,1377.95,4621862,1377.95
43,AMZN,1/24/2018,1374.82,1388.16,1338,1357.51,6730084,1357.51
44,AMZN,1/23/2018,1338.09,1364.9,1337.34,1362.54,5056764,1362.54
45,AMZN,1/22/2018,1297.17,1327.45,1296.66,1327.31,3970151,1327.31
46,AMZN,1/19/2018,1312,1313,1292.99,1294.58,4395070,1294.58
47,AMZN,1/18/2018,1293.95,1304.6,1284.02,1293.32,3941007,1293.32
48,AMZN,1/17/2018,1312.24,1314,1280.88,1295,5166748,1295
49,AMZN,1/16/2018,1323,1339.94,1292.3,1304.86,7111172,1304.86
50,AMZN,1/12/2018,1273.39,1305.76,1273.39,1305.2,5360681,1305.2
51,AMZN,1/11/2018,1259.74,1276.77,1256.46,1276.68,3075315,1276.68
52,AMZN,1/10/2018,1245.15,1254.33,1237.23,1254.33,2659507,1254.33
